address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"Jumaira Road",poi,115557,25.170717947242,55.216341018677,Dubai,"Arif Sons Travel أبناء العارف للسفريات",4bd6e03e7b1876b039228d86,0,"General Travel",http://tour-pedia.org/api/getPlaceDetails?id=115557,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115557
"Al Wasl Road",poi,115568,25.181595937349,55.232456364624,Dubai,Lively,4bd7ef4ddc4b95219e207888,0,"Medical Center",http://tour-pedia.org/api/getPlaceDetails?id=115568,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115568
"at Terminal 1",poi,115591,25.251242,55.357207,Dubai,"Marhaba Lounge",4bdab35863c5c9b6bda62468,0,"Airport Lounge",http://tour-pedia.org/api/getPlaceDetails?id=115591,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115591
,poi,115592,25.116339409856,55.220016683833,Dubai,"Marina Metro Station",4bdaba6fc79cc9286a807fe9,0,"Train Station",http://tour-pedia.org/api/getPlaceDetails?id=115592,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115592
"Khalid bin Al Whaleed Station",poi,115594,25.262753374892,55.32303540951,Dubai,"Dubai Metro",4bdad7afc79cc928ceea7fe9,0,Train,http://tour-pedia.org/api/getPlaceDetails?id=115594,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115594
"Mina Rd.",poi,115596,25.255985069451,55.283197760582,Dubai,"Dubai Customs جمارك دبي",4bdaea60c79cc928d33880e9,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=115596,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115596
"Town Center",poi,115604,25.21903,55.28027,Dubai,"Dubai Physiotherapy Center",4bdbbbd363c5c9b6bf822968,0,"Doctor's Office",http://tour-pedia.org/api/getPlaceDetails?id=115604,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115604
,poi,115619,24.975880050301,55.239901615091,Dubai,"Dubai Bypass Road",4bdd730ed33f2d7ffef38a3c,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=115619,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115619
,poi,115620,25.139045000029,55.426544672021,Dubai,"Academic City Road",4bdd76efd33f2d7fe1fb8a3c,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=115620,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115620
"Airport Rd",poi,115627,25.2410939923,55.366354975401,Dubai,"Emirates Metro Station | محطة طيران الإمارات",4bdebe7ae75c0f47ca98c803,0,Train,http://tour-pedia.org/api/getPlaceDetails?id=115627,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115627
,poi,115635,25.214135952903,55.271189504411,Dubai,"Singapore Consulate General Dubai",4bdf91cbffdec928409beca1,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=115635,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115635
,poi,115636,25.2453125,55.303721,Dubai,"Dubai Municipality",4bdfc1fae75c0f479645cc03,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=115636,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115636
,poi,115661,25.240345379416,55.2955887789,Dubai,"Bur Dubai Station",4be58adbbcef2d7f24e703e5,0,"Train Station",http://tour-pedia.org/api/getPlaceDetails?id=115661,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115661
"Al Rashidiya",poi,115666,25.219997353377,55.400886875468,Dubai,"EIDA Centre",4be620a5910020a16c08d414,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=115666,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115666
,poi,115667,25.242504,55.275641,Dubai,"Joint Visa Application Center",4be63889910020a15328d414,0,"Embassy / Consulate",http://tour-pedia.org/api/getPlaceDetails?id=115667,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115667
